prob_threshold,hold,cooldown,fee,slip,success,elapsed_s,cumulative_return,total_return,sharpe,max_drawdown,n_trades,win_rate,avg_win,avg_loss,profit_factor
0.6,1,0,0.0005,0.0002,True,9.675527095794678,0.6439837132818711,-0.43960971901900886,-3.4796006086521696,-0.3558776594475952,598,0.18394648829400678,0.0006412776572758215,-0.0010453898797527646,0.13827404886480815
0.6,1,2,0.0005,0.0002,True,6.630678176879883,0.7137052837930474,-0.3369211351287099,-3.019748893297641,-0.2861410804182198,459,0.18736383442224977,0.0006342563775949528,-0.0010495098756082462,0.1393374735321418
0.6,1,5,0.0005,0.0002,True,6.892837762832642,0.7741340968544246,-0.25573792093771763,-2.639496439459398,-0.22569925923132378,354,0.19209039547968337,0.0006712622296086529,-0.001053789344584287,0.15145418781058537
0.6,3,0,0.0005,0.0002,True,6.717684507369995,0.5773158453566863,-0.5480235853487798,-2.5477110783376298,-0.42263983747202255,598,0.2675585284276462,0.0010584917418248747,-0.001637859050321369,0.2360787085841291
0.6,3,2,0.0005,0.0002,True,7.031908273696899,0.6590422631032067,-0.41590076683249455,-2.1613533512085867,-0.34090714620650786,459,0.2657952069710985,0.0010884947475023775,-0.0016281813828717643,0.24202124023252922
0.6,3,5,0.0005,0.0002,True,6.751019239425659,0.7230283546775208,-0.3234471374620097,-1.8683720384293399,-0.27691614290386973,354,0.26553672316309174,0.0010782057012783633,-0.001633840282239138,0.23858686420089167
0.6,5,0,0.0005,0.0002,True,6.7845399379730225,0.5702882060559661,-0.5594422022662154,-2.036323720819096,-0.42962852616809794,598,0.3344481605345578,0.0014183569416766648,-0.002118375855782784,0.3364569035074871
0.6,5,2,0.0005,0.0002,True,6.195154190063477,0.66944423042497,-0.39972037314675846,-1.697582553402384,-0.3304580242027459,459,0.34422657951994723,0.0013866082460236237,-0.0020558288239816975,0.3540441464278319
0.6,5,5,0.0005,0.0002,True,6.851489782333374,0.7237871160390082,-0.3219726198707622,-1.518039460649228,-0.2761072040797626,354,0.33333333333239173,0.0013681700137753519,-0.0020483757690519223,0.3339646054245194
0.7,1,0,0.0005,0.0002,True,6.621988534927368,0.9263246280682459,-0.076436358269909,-1.3279644926537426,-0.07367537185807874,116,0.19827586206725623,0.0008566693908482944,-0.0010337607984883845,0.2049453520694316
0.7,1,2,0.0005,0.0002,True,6.845845699310303,0.9257980251011648,-0.07701134324558172,-1.3859059073323476,-0.0742019748246332,107,0.17757009345628438,0.0007959453604494788,-0.0010469807397059294,0.16414039991890653
0.7,1,5,0.0005,0.0002,True,6.959083080291748,0.9297913430503281,-0.07271046709119572,-1.3328605166403737,-0.07020865687946327,103,0.1844660194156848,0.0007959453604494788,-0.001045636058806379,0.17217774438407157
0.7,3,0,0.0005,0.0002,True,6.013976097106934,0.9284432098052492,-0.07408321469012331,-0.9769061821725997,-0.07799718166524773,116,0.26724137930804104,0.0013421763237979772,-0.001361066832092478,0.35964405617049267
0.7,3,2,0.0005,0.0002,True,6.1433117389678955,0.9289669173210825,-0.0735328281753495,-1.0128083943165733,-0.07430599871705657,107,0.2616822429882086,0.0012583515856411716,-0.0013767933237126878,0.3239397072689482
0.7,3,5,0.0005,0.0002,True,6.364893436431885,0.9313463963610544,-0.07098256732886161,-1.0045455912929258,-0.07193490300843716,103,0.26213592232755206,0.0012256022594732921,-0.0013693924780873751,0.31795948335269536
0.7,5,0,0.0005,0.0002,True,6.264321327209473,0.9283099334484217,-0.07409189753047604,-0.7219270581314025,-0.08044294264891567,116,0.3275862068937277,0.0018215573201016597,-0.0018373214832607583,0.48299949843721507
0.7,5,2,0.0005,0.0002,True,6.234614133834839,0.924798354625921,-0.07790092096840433,-0.7848179248565391,-0.07675941584777751,107,0.3177570093428247,0.0017762993586458668,-0.0018944534131830656,0.43670511914778154
0.7,5,5,0.0005,0.0002,True,6.471734046936035,0.925632563370978,-0.07701740816675513,-0.8025410619201332,-0.07564136987596629,103,0.3106796116474691,0.0017472751477443293,-0.0018722565196418832,0.42061772933099095
0.75,1,0,0.0005,0.0002,True,6.30367112159729,0.9670589627704683,-0.03345887268158799,-0.9262820231693997,-0.03294103719659064,62,0.20967741935145684,0.0008324775735717352,-0.0009036955334289907,0.24439801228661512
0.75,1,2,0.0005,0.0002,True,6.239258289337158,0.9665093652940766,-0.0340275395303535,-0.9444831551194098,-0.033490634672432754,60,0.19999999999666668,0.0008510187140599191,-0.000921661752064011,0.2308381282280616
0.75,1,5,0.0005,0.0002,True,6.067974328994751,0.9677927504928705,-0.03270138803513937,-0.9179298825662742,-0.03220724947492225,58,0.20689655172057075,0.0008510187140599191,-0.0009329046218230084,0.23797167637732664
0.75,3,0,0.0005,0.0002,True,6.1462721824646,0.9613751963185388,-0.03930706085622716,-0.7234508786566972,-0.04116093470534873,62,0.2741935483826743,0.001343674059376045,-0.0013811004414582204,0.3675403879425374
0.75,3,2,0.0005,0.0002,True,6.335160732269287,0.958597844107173,-0.04220448924252959,-0.7978909142340648,-0.043483648000985864,60,0.2666666666622222,0.001243982099008895,-0.001411550064242543,0.3204683497157395
0.75,3,5,0.0005,0.0002,True,6.558074474334717,0.9574973517654072,-0.0433559552333718,-0.8345955841189292,-0.044581750740858815,58,0.25862068965071344,0.0011840753461312276,-0.0014213275680311675,0.290608260812059
0.75,5,0,0.0005,0.0002,True,6.067629098892212,0.9752058830040107,-0.024965830222378867,-0.3532756879386018,-0.03922811126485694,62,0.3387096774138918,0.00199989036176039,-0.0016332567760816356,0.6271727063588418
0.75,5,2,0.0005,0.0002,True,6.18189549446106,0.971962952588253,-0.0283015302994973,-0.4074963735032184,-0.039228111264737416,60,0.31666666666138893,0.0020348419747289346,-0.0016332567760816356,0.5773590221649065
0.75,5,5,0.0005,0.0002,True,6.249045133590698,0.9692989787115336,-0.03105757313231198,-0.4673957969693026,-0.037573829175629334,58,0.31034482758085613,0.0018992826778140755,-0.0016311165333241333,0.5239829125972821
0.8,1,0,0.0005,0.0002,True,6.154259204864502,0.9905994233660832,-0.009438464501206357,-0.6186285780765898,-0.009400576624516224,19,0.10526315788919667,0.0007801511993303151,-0.0006469862882274698,0.1418615623918657
0.8,1,2,0.0005,0.0002,True,6.230368137359619,0.989995542036533,-0.010048448388919884,-0.6682188434071312,-0.010004457953462591,18,0.05555555555246913,0.0009503185109471019,-0.0006469862882274698,0.0864022697450134
0.8,1,5,0.0005,0.0002,True,6.4975669384002686,0.989995542036533,-0.010048448388919884,-0.6681439785734995,-0.010004457953462591,18,0.05555555555246913,0.0009503185109471019,-0.0006469862882274698,0.0864022697450134
0.8,3,0,0.0005,0.0002,True,6.074671506881714,0.990789577079955,-0.009230515288399266,-0.3262094306558742,-0.011242895249045872,19,0.21052631577839334,0.001694399378066514,-0.0010672075200443545,0.4233851406019097
0.8,3,2,0.0005,0.0002,True,6.132194995880127,0.9878864303520909,-0.01216926071364971,-0.47834700015999265,-0.012113569635795535,18,0.1666666666574074,0.001279617362338537,-0.0010672075200443545,0.23980664648049066
0.8,3,5,0.0005,0.0002,True,6.026283025741577,0.9878864303520909,-0.01216926071364971,-0.47834700015999265,-0.012113569635795535,18,0.1666666666574074,0.001279617362338537,-0.0010672075200443545,0.23980664648049066
0.8,5,0,0.0005,0.0002,True,6.007153511047363,1.0033454547322591,0.0033943221435802397,0.07719361563085485,-0.007179708049886207,19,0.47368421050138504,0.002302404240393725,-0.0017327316019963284,1.1958942137244648
0.8,5,2,0.0005,0.0002,True,6.020139455795288,1.0002603033218918,0.00030997359938494777,0.007378739290710673,-0.007179708049864551,18,0.44444444441975306,0.002204661202418529,-0.0017327316019963284,1.017889243847032
0.8,5,5,0.0005,0.0002,True,6.083202838897705,1.0002603033218918,0.00030997359938494777,0.007378739290710673,-0.007179708049864551,18,0.44444444441975306,0.002204661202418529,-0.0017327316019963284,1.017889243847032
0.85,1,0,0.0005,0.0002,True,6.2400736808776855,0.9986575961853169,-0.0013409221074654446,-0.14584929335066768,-0.0019511975014078926,5,0.39999999992,0.0007801511993303151,-0.0009670748353753584,0.5378080384878658
0.85,1,2,0.0005,0.0002,True,6.434979200363159,0.9986575961853169,-0.0013409221074654446,-0.14584929335066768,-0.0019511975014078926,5,0.39999999992,0.0007801511993303151,-0.0009670748353753584,0.5378080384878658
0.85,1,5,0.0005,0.0002,True,6.6425840854644775,0.9986575961853169,-0.0013409221074654446,-0.14584929335066768,-0.0019511975014078926,5,0.39999999992,0.0007801511993303151,-0.0009670748353753584,0.5378080384878658
0.85,3,0,0.0005,0.0002,True,6.71718168258667,1.0018576149017722,0.0018626610731518637,0.12011963371159053,-0.0019036558022205992,5,0.39999999992,0.002123910606800539,-0.0007950533801497382,1.7809367851771456
0.85,3,2,0.0005,0.0002,True,6.126025199890137,1.0018576149017722,0.0018626610731518637,0.12011963371159053,-0.0019036558022205992,5,0.39999999992,0.002123910606800539,-0.0007950533801497382,1.7809367851771456
0.85,3,5,0.0005,0.0002,True,6.3033905029296875,1.0018576149017722,0.0018626610731518637,0.12011963371159053,-0.0019036558022205992,5,0.39999999992,0.002123910606800539,-0.0007950533801497382,1.7809367851771456
0.85,5,0,0.0005,0.0002,True,6.12394642829895,1.006391111346342,0.006389871346096423,0.24539318498253995,-0.0032525088391103033,5,0.79999999984,0.0024105950471123077,-0.0032525088423528076,2.9645967747399977
0.85,5,2,0.0005,0.0002,True,6.009234189987183,1.006391111346342,0.006389871346096423,0.24539318498253995,-0.0032525088391103033,5,0.79999999984,0.0024105950471123077,-0.0032525088423528076,2.9645967747399977
0.85,5,5,0.0005,0.0002,True,6.18019437789917,1.006391111346342,0.006389871346096423,0.24539318498253995,-0.0032525088391103033,5,0.79999999984,0.0024105950471123077,-0.0032525088423528076,2.9645967747399977
